ALGORITHM, DISTANCE, TIME
FootRule+, 14.082489349417145, 140.62500
FootRule+_Chanas, 14.082489349417145, 1218.75000
FootRule+_Local-Search, 14.082489349417145, 1203.12500
RandomSort, 14.773833117460713, 1046.87500
RandomSort_Chanas, 14.293893665829184, 2109.37500
RandomSort_Local-Search, 14.082489349417145, 2109.37500
Borda+, 14.187855994756637, 265.62500
Borda+_Chanas, 14.082489349417145, 1343.75000
Borda+_Local-Search, 14.082489349417145, 1343.75000
Score-Then-Borda+, 14.187855994756637, 406.25000
Score-Then-Borda+_Chanas, 14.082489349417145, 1484.37500
Score-Then-Borda+_Local-Search, 14.082489349417145, 1468.75000
Relaxed-Linear-Program, 14.082489349417145, 1375.00000
Relaxed-Linear-Program_Chanas, 14.082489349417145, 2453.12500
Relaxed-Linear-Program_Local-Search, 14.082489349417145, 2437.50000
Local-Search, 14.082489349417145, 1078.12500
Local-Search_Chanas, 14.082489349417145, 2140.62500
Chanas, 17.425492735756308, 1062.50000
Chanas_Local-Search, 14.082489349417145, 2156.25000
Copeland, 33.76720088637818, 1078.12500
Copeland_Chanas, 14.082489349417145, 2140.62500
Copeland_Local-Search, 14.082489349417145, 2171.87500
QS-Rand, 29.608932444874455, 1078.12500
QS-Rand_Chanas, 17.575630842215322, 2171.87500
QS-Rand_Local-Search, 14.082489349417145, 2156.25000
QS-Det, 25.117554345281754, 1062.50000
QS-Det_Chanas, 18.20300869212403, 2156.25000
QS-Det_Local-Search, 14.082489349417145, 2140.62500
IS, 33.76720088637818, 1062.50000
IS_Chanas, 14.082489349417145, 2156.25000
IS_Local-Search, 14.082489349417145, 2156.25000
Opt, 14.082489349417145, 1406.25000
