ALGORITHM, DISTANCE, TIME
FootRule+, 8.428838201947446, 62.50000
FootRule+_Chanas, 8.405962384953982, 296.87500
FootRule+_Local-Search, 8.394791249833267, 296.87500
RandomSort, 9.885921035080699, 437.50000
RandomSort_Chanas, 8.744797919167667, 687.50000
RandomSort_Local-Search, 8.394791249833267, 687.50000
Borda+, 8.394791249833267, 109.37500
Borda+_Chanas, 8.394791249833267, 359.37500
Borda+_Local-Search, 8.394791249833267, 343.75000
Score-Then-Borda+, 8.394791249833267, 156.25000
Score-Then-Borda+_Chanas, 8.394791249833267, 390.62500
Score-Then-Borda+_Local-Search, 8.394791249833267, 421.87500
Relaxed-Linear-Program, 8.394791249833267, 390.62500
Relaxed-Linear-Program_Chanas, 8.394791249833267, 703.12500
Relaxed-Linear-Program_Local-Search, 8.394791249833267, 703.12500
Local-Search, 8.394791249833267, 250.00000
Local-Search_Chanas, 8.394791249833267, 562.50000
Chanas, 8.940042683740163, 234.37500
Chanas_Local-Search, 8.394791249833267, 468.75000
Copeland, 16.70981726023743, 234.37500
Copeland_Chanas, 8.394791249833267, 468.75000
Copeland_Local-Search, 8.394791249833267, 468.75000
QS-Rand, 15.643824196345205, 218.75000
QS-Rand_Chanas, 8.705915699613179, 453.12500
QS-Rand_Local-Search, 8.394791249833267, 468.75000
QS-Det, 15.207282913165265, 234.37500
QS-Det_Chanas, 9.132986527944512, 468.75000
QS-Det_Local-Search, 8.394791249833267, 468.75000
IS, 16.70981726023743, 234.37500
IS_Chanas, 8.394791249833267, 484.37500
IS_Local-Search, 8.394791249833267, 468.75000
Opt, 8.394791249833267, 312.50000
