ALGORITHM, DISTANCE, TIME
FootRule+, 13.662, 15.62500
FootRule+_Chanas, 13.6336, 109.37500
FootRule+_Local-Search, 13.6336, 109.37500
RandomSort, 13.9496, 171.87500
RandomSort_Chanas, 13.8512, 265.62500
RandomSort_Local-Search, 13.6336, 281.25000
Borda+, 13.6674, 46.87500
Borda+_Chanas, 13.6402, 171.87500
Borda+_Local-Search, 13.6336, 171.87500
Score-Then-Borda+, 13.6674, 62.50000
Score-Then-Borda+_Chanas, 13.6402, 187.50000
Score-Then-Borda+_Local-Search, 13.6336, 187.50000
Relaxed-Linear-Program, 13.6336, 265.62500
Relaxed-Linear-Program_Chanas, 13.6336, 359.37500
Relaxed-Linear-Program_Local-Search, 13.6336, 375.00000
Local-Search, 13.6336, 93.75000
Local-Search_Chanas, 13.6336, 203.12500
Chanas, 14.0272, 93.75000
Chanas_Local-Search, 13.6336, 187.50000
Opt, 13.6336, 218.75000
Copeland, 13.6336, 93.75000
Copeland_Chanas, 13.6336, 187.50000
Copeland_Local-Search, 13.6336, 187.50000
QS-Rand, 13.6336, 109.37500
QS-Rand_Chanas, 13.6336, 234.37500
QS-Rand_Local-Search, 13.6336, 203.12500
QS-Det, 15.6184, 93.75000
QS-Det_Chanas, 13.847, 187.50000
QS-Det_Local-Search, 13.6336, 187.50000
IS, 13.6336, 93.75000
IS_Chanas, 13.6336, 187.50000
IS_Local-Search, 13.6336, 187.50000
