ALGORITHM, DISTANCE, TIME
FootRule+, 600.2974, 218.75000
FootRule+_Chanas, 600.0406, 4484.37500
FootRule+_Local-Search, 599.2918, 4750.00000
RandomSort, 608.6582, 234.37500
RandomSort_Chanas, 602.041, 5171.87500
RandomSort_Local-Search, 599.307, 4953.12500
Borda+, 600.1894, 343.75000
Borda+_Chanas, 599.96, 4656.25000
Borda+_Local-Search, 599.283, 5015.62500
Score-Then-Borda+, 600.1894, 531.25000
Score-Then-Borda+_Chanas, 599.96, 4843.75000
Score-Then-Borda+_Local-Search, 599.282, 5078.12500
Relaxed-Linear-Program, 599.282, 22703.12500
Relaxed-Linear-Program_Chanas, 599.282, 27750.00000
Relaxed-Linear-Program_Local-Search, 599.282, 28156.25000
Local-Search, 599.284, 4703.12500
Local-Search_Chanas, 599.284, 9078.12500
Chanas, 601.4172, 4328.12500
Chanas_Local-Search, 599.296, 9468.75000
Copeland, 615.4302, 4203.12500
Copeland_Chanas, 599.5504, 8437.50000
Copeland_Local-Search, 599.2918, 8859.37500
QS-Rand, 612.7438, 4312.50000
QS-Rand_Chanas, 601.4726, 8515.62500
QS-Rand_Local-Search, 599.2904, 9015.62500
QS-Det, 608.632, 4218.75000
QS-Det_Chanas, 601.3844, 9343.75000
QS-Det_Local-Search, 599.282, 9031.25000
IS, 614.4986, 5171.87500
IS_Chanas, 600.4616, 9390.62500
IS_Local-Search, 599.2986, 9921.87500
Opt, 599.282, 20859.37500
Score-Then-Adjust-0.25, 599.282, 29578.12500
Score-Then-Adjust-0.25_Chanas, 599.282, 33859.37500
Score-Then-Adjust-0.25_Local-Search, 599.282, 33906.25000
FootRule+, 600.2974, 203.12500
FootRule+_Chanas, 600.0406, 4562.50000
FootRule+_Local-Search, 599.2918, 4703.12500
RandomSort, 608.6582, 234.37500
RandomSort_Chanas, 602.041, 4484.37500
RandomSort_Local-Search, 599.307, 5203.12500
Borda+, 600.1894, 359.37500
Borda+_Chanas, 599.96, 4687.50000
Borda+_Local-Search, 599.283, 5062.50000
Score-Then-Borda+, 600.1894, 531.25000
Score-Then-Borda+_Chanas, 599.96, 4859.37500
Score-Then-Borda+_Local-Search, 599.282, 5093.75000
Relaxed-Linear-Program, 599.282, 22625.00000
Relaxed-Linear-Program_Chanas, 599.282, 26906.25000
Relaxed-Linear-Program_Local-Search, 599.282, 26953.12500
Local-Search, 599.284, 4703.12500
Local-Search_Chanas, 599.284, 9062.50000
Chanas, 601.4172, 4296.87500
Chanas_Local-Search, 599.296, 10078.12500
Copeland, 615.4302, 4187.50000
Copeland_Chanas, 599.5504, 8421.87500
Copeland_Local-Search, 599.2918, 10015.62500
QS-Rand, 612.9318, 4296.87500
QS-Rand_Chanas, 601.085, 9609.37500
QS-Rand_Local-Search, 599.2914, 8984.37500
QS-Det, 608.632, 4218.75000
QS-Det_Chanas, 601.3844, 9140.62500
QS-Det_Local-Search, 599.282, 9296.87500
IS, 614.4986, 4328.12500
IS_Chanas, 600.4616, 8609.37500
IS_Local-Search, 599.2986, 9078.12500
Opt, 599.282, 20843.75000
Score-Then-Adjust-0.5, 599.282, 30968.75000
Score-Then-Adjust-0.5_Chanas, 599.282, 35250.00000
Score-Then-Adjust-0.5_Local-Search, 599.282, 35328.12500
FootRule+, 600.2974, 218.75000
FootRule+_Chanas, 600.0406, 4593.75000
FootRule+_Local-Search, 599.2918, 4734.37500
RandomSort, 608.6582, 234.37500
RandomSort_Chanas, 602.041, 4468.75000
RandomSort_Local-Search, 599.307, 4984.37500
Borda+, 600.1894, 359.37500
Borda+_Chanas, 599.96, 4687.50000
Borda+_Local-Search, 599.283, 5078.12500
Score-Then-Borda+, 600.1894, 546.87500
Score-Then-Borda+_Chanas, 599.96, 4875.00000
Score-Then-Borda+_Local-Search, 599.282, 5140.62500
Relaxed-Linear-Program, 599.282, 22734.37500
Relaxed-Linear-Program_Chanas, 599.282, 27015.62500
Relaxed-Linear-Program_Local-Search, 599.282, 27484.37500
Local-Search, 599.284, 4703.12500
Local-Search_Chanas, 599.284, 9093.75000
Chanas, 601.4172, 4328.12500
Chanas_Local-Search, 599.296, 8984.37500
Copeland, 615.4302, 5015.62500
Copeland_Chanas, 599.5504, 9250.00000
Copeland_Local-Search, 599.2918, 9687.50000
QS-Rand, 609.4018, 4531.25000
QS-Rand_Chanas, 601.3926, 8890.62500
QS-Rand_Local-Search, 599.2876, 9296.87500
QS-Det, 608.632, 4296.87500
QS-Det_Chanas, 601.3844, 9593.75000
QS-Det_Local-Search, 599.2844, 9031.25000
IS, 614.4986, 4312.50000
IS_Chanas, 600.4616, 8625.00000
IS_Local-Search, 599.2824, 8968.75000
Opt, 599.282, 20812.50000
Score-Then-Adjust-0.75, 599.282, 29828.12500
Score-Then-Adjust-0.75_Chanas, 599.282, 34125.00000
Score-Then-Adjust-0.75_Local-Search, 599.282, 34187.50000
FootRule+, 600.2974, 281.25000
FootRule+_Chanas, 600.0406, 4609.37500
FootRule+_Local-Search, 599.2918, 4765.62500
RandomSort, 608.6582, 234.37500
RandomSort_Chanas, 602.041, 4453.12500
RandomSort_Local-Search, 599.307, 4906.25000
