ALGORITHM, DISTANCE, TIME
FootRule+, 428.84, 31.25000
FootRule+_Local-Search, 404.16, 421.87500
FootRule+_Chanas, 418.22, 125.00000
RandomSort, 415.54, 0.00000
RandomSort_Local-Search, 404.38, 437.50000
RandomSort_Chanas, 411.18, 93.75000
Borda+, 440.02, 0.00000
Borda+_Local-Search, 404.12, 562.50000
Borda+_Chanas, 428.4, 93.75000
Score-Then-Borda+, 432.24, 15.62500
Score-Then-Borda+_Local-Search, 404.36, 500.00000
Score-Then-Borda+_Chanas, 420.78, 109.37500
Relaxed-Linear-Program, 404.06, 18921.87500
Relaxed-Linear-Program_Local-Search, 404.06, 19000.00000
Relaxed-Linear-Program_Chanas, 404.06, 19015.62500
Local-Search, 404.2, 500.00000
Local-Search_Chanas, 404.2, 593.75000
Chanas, 463.54, 62.50000
Chanas_Local-Search, 404.18, 453.12500
Copeland, 775.94, 46.87500
Copeland_Local-Search, 404.12, 671.87500
Copeland_Chanas, 416.04, 93.75000
QS-Rand, 719.3, 46.87500
QS-Rand_Local-Search, 404.14, 546.87500
QS-Rand_Chanas, 450.86, 93.75000
QS-Det, 696.88, 46.87500
QS-Det_Local-Search, 404.14, 531.25000
QS-Det_Chanas, 451.6, 93.75000
IS, 750.48, 46.87500
IS_Local-Search, 404.06, 500.00000
IS_Chanas, 437.2, 109.37500
Opt, 404.06, 16578.12500
