ALGORITHM, DISTANCE, TIME
Score-Then-Adjust, 434.0225, 7236.87791, 0.100
Score-Then-Adjust-Relaxed, 434.0225, 6802.82708, 0.100
OPTIMAL, 434.0225, 4048.88340,
Score-Then-Adjust, 434.0225, 6596.07868, 0.150
Score-Then-Adjust-Relaxed, 434.0225, 6452.38977, 0.150
OPTIMAL, 434.0225, 3764.78439,
Score-Then-Adjust, 434.0225, 6682.04688, 0.200
Score-Then-Adjust-Relaxed, 434.0225, 8051.54924, 0.200
OPTIMAL, 434.0225, 4078.44507,
Score-Then-Adjust, 434.0225, 6331.22802, 0.250
Score-Then-Adjust-Relaxed, 434.0225, 5807.86399, 0.250
OPTIMAL, 434.0225, 3460.79195,
Score-Then-Adjust, 434.0225, 5321.59794, 0.300
Score-Then-Adjust-Relaxed, 434.0225, 5248.95660, 0.300
OPTIMAL, 434.0225, 3104.13912,
Score-Then-Adjust, 434.0225, 5179.18186, 0.350
Score-Then-Adjust-Relaxed, 434.0225, 5208.42996, 0.350
OPTIMAL, 434.0225, 3141.27301,
Score-Then-Adjust, 434.0225, 5324.62483, 0.400
Score-Then-Adjust-Relaxed, 434.0225, 5346.93712, 0.400
OPTIMAL, 434.0225, 3157.90263,
Score-Then-Adjust, 434.0225, 5227.51677, 0.450
Score-Then-Adjust-Relaxed, 434.0225, 5269.13388, 0.450
OPTIMAL, 434.0225, 3177.52277,
Score-Then-Adjust, 434.0225, 5350.15586, 0.500
Score-Then-Adjust-Relaxed, 434.0225, 5358.58686, 0.500
OPTIMAL, 434.0225, 3165.01340,
Score-Then-Adjust, 434.0225, 5202.20135, 0.550
Score-Then-Adjust-Relaxed, 434.0225, 5234.16091, 0.550
OPTIMAL, 434.0225, 3113.28872,
Score-Then-Adjust, 434.0225, 5164.34004, 0.600
Score-Then-Adjust-Relaxed, 434.0225, 5183.28004, 0.600
OPTIMAL, 434.0225, 3136.95297,
Score-Then-Adjust, 434.0225, 5234.72183, 0.650
Score-Then-Adjust-Relaxed, 434.0225, 5258.66066, 0.650
OPTIMAL, 434.0225, 3133.14798,
Score-Then-Adjust, 434.0225, 5279.86508, 0.700
Score-Then-Adjust-Relaxed, 434.0225, 5204.04907, 0.700
OPTIMAL, 434.0225, 3017.59768,
Score-Then-Adjust, 434.0225, 4927.73984, 0.750
Score-Then-Adjust-Relaxed, 434.0225, 4957.22138, 0.750
OPTIMAL, 434.0225, 2984.60922,
Score-Then-Adjust, 434.0225, 5006.10110, 0.800
Score-Then-Adjust-Relaxed, 434.0225, 4977.00335, 0.800
OPTIMAL, 434.0225, 2990.70623,
Score-Then-Adjust, 434.0225, 5126.17877, 0.850
Score-Then-Adjust-Relaxed, 434.0225, 5141.02696, 0.850
OPTIMAL, 434.0225, 3246.80862,
Score-Then-Adjust, 434.0225, 5782.82757, 0.900
Score-Then-Adjust-Relaxed, 434.0225, 5533.23946, 0.900
OPTIMAL, 434.0225, 3179.42911,
