ALGORITHM, DISTANCE, TIME
FootRule+, 1.77875, 15.62500
FootRule+_Local-Search, 1.77875, 46.87500
FootRule+_Chanas, 1.77875, 62.50000
RandomSort, 1.79125, 15.62500
RandomSort_Local-Search, 1.77875, 78.12500
RandomSort_Chanas, 1.77875, 46.87500
Borda+, 1.89625, 15.62500
Borda+_Local-Search, 1.77875, 78.12500
Borda+_Chanas, 1.77875, 62.50000
Score-Then-Borda+, 1.77875, 15.62500
Score-Then-Borda+_Local-Search, 1.77875, 46.87500
Score-Then-Borda+_Chanas, 1.77875, 46.87500
Relaxed-Linear-Program, 1.77875, 3484.37500
Relaxed-Linear-Program_Local-Search, 1.77875, 3500.00000
Relaxed-Linear-Program_Chanas, 1.77875, 3515.62500
Local-Search, 1.77875, 78.12500
Local-Search_Chanas, 1.77875, 109.37500
Chanas, 8.8675, 31.25000
Chanas_Local-Search, 1.77875, 109.37500
Copeland, 85.66125, 15.62500
Copeland_Local-Search, 1.77875, 125.00000
Copeland_Chanas, 1.77875, 46.87500
QS-Rand, 60.775, 15.62500
QS-Rand_Local-Search, 1.77875, 125.00000
QS-Rand_Chanas, 8.27125, 46.87500
QS-Det, 58.5225, 15.62500
QS-Det_Local-Search, 1.77875, 93.75000
QS-Det_Chanas, 11.615, 46.87500
IS, 85.66125, 15.62500
IS_Local-Search, 1.77875, 109.37500
IS_Chanas, 1.77875, 46.87500
Opt, 1.77875, 3468.75000
