ALGORITHM, DISTANCE, TIME
FootRule+, 2.6378, 31.25000
FootRule+_Local-Search, 2.6378, 296.87500
FootRule+_Chanas, 2.6378, 343.75000
RandomSort, 2.6394, 62.50000
RandomSort_Local-Search, 2.6378, 390.62500
RandomSort_Chanas, 2.6378, 359.37500
Borda+, 2.7712, 15.62500
Borda+_Local-Search, 2.6378, 390.62500
Borda+_Chanas, 2.6752, 312.50000
Score-Then-Borda+, 2.651, 31.25000
Score-Then-Borda+_Local-Search, 2.6378, 437.50000
Score-Then-Borda+_Chanas, 2.6378, 312.50000
Relaxed-Linear-Program, 2.6378, 12062.50000
Relaxed-Linear-Program_Local-Search, 2.6378, 12328.12500
Relaxed-Linear-Program_Chanas, 2.6378, 12359.37500
Local-Search, 2.6378, 546.87500
Local-Search_Chanas, 2.6378, 843.75000
Chanas, 11.8834, 265.62500
Chanas_Local-Search, 2.6378, 671.87500
Copeland, 187.363, 250.00000
Copeland_Local-Search, 2.6378, 796.87500
Copeland_Chanas, 2.6378, 531.25000
QS-Rand, 175.5342, 250.00000
QS-Rand_Local-Search, 2.6378, 796.87500
QS-Rand_Chanas, 9.6102, 531.25000
QS-Det, 134.4828, 250.00000
QS-Det_Local-Search, 2.6378, 750.00000
QS-Det_Chanas, 20.6662, 531.25000
IS, 187.363, 234.37500
IS_Local-Search, 2.6378, 843.75000
IS_Chanas, 2.6378, 515.62500
Opt, 2.6378, 12156.25000
