ALGORITHM, DISTANCE, TIME
FootRule+, 284.82, 46.87500
FootRule+_Local-Search, 269.34, 375.00000
FootRule+_Chanas, 280.74, 140.62500
RandomSort, 296.94, 15.62500
RandomSort_Local-Search, 269.56, 468.75000
RandomSort_Chanas, 288.12, 93.75000
Borda+, 285.4, 0.00000
Borda+_Local-Search, 269.34, 328.12500
Borda+_Chanas, 281.0, 93.75000
Score-Then-Borda+, 279.88, 15.62500
Score-Then-Borda+_Local-Search, 269.34, 296.87500
Score-Then-Borda+_Chanas, 275.34, 125.00000
Relaxed-Linear-Program, 269.34, 19234.37500
Relaxed-Linear-Program_Local-Search, 269.34, 19328.12500
Relaxed-Linear-Program_Chanas, 269.34, 19343.75000
Local-Search, 269.38, 421.87500
Local-Search_Chanas, 269.38, 531.25000
Chanas, 400.86, 62.50000
Chanas_Local-Search, 269.38, 734.37500
Copeland, 915.88, 46.87500
Copeland_Local-Search, 269.34, 593.75000
Copeland_Chanas, 276.1, 93.75000
QS-Rand, 775.5, 46.87500
QS-Rand_Local-Search, 269.34, 609.37500
QS-Rand_Chanas, 365.7, 93.75000
QS-Det, 759.38, 62.50000
QS-Det_Local-Search, 269.7, 531.25000
QS-Det_Chanas, 379.02, 125.00000
IS, 907.28, 46.87500
IS_Local-Search, 269.38, 750.00000
IS_Chanas, 284.7, 93.75000
Opt, 269.34, 16718.75000
