ALGORITHM, DISTANCE, TIME
Opt, 154.828, 3437.50000
Score-Then-Adjust, 154.828, 3656.25000
Score-Then-Adjust_Chanas, 154.828, 3781.25000
Score-Then-Adjust_Local-Search, 154.828, 3781.25000
Score-Then-Adjust-Relaxed, 154.828, 3843.75000
Score-Then-Adjust-Relaxed_Chanas, 154.828, 3968.75000
Score-Then-Adjust-Relaxed_Local-Search, 154.828, 3953.12500
Opt, 154.828, 3453.12500
Score-Then-Adjust, 154.828, 3625.00000
Score-Then-Adjust_Chanas, 154.828, 3781.25000
Score-Then-Adjust_Local-Search, 154.828, 3734.37500
Score-Then-Adjust-Relaxed, 154.828, 3812.50000
Score-Then-Adjust-Relaxed_Chanas, 154.828, 3921.87500
Score-Then-Adjust-Relaxed_Local-Search, 154.828, 3921.87500
Opt, 154.828, 3468.75000
Score-Then-Adjust, 154.828, 3656.25000
Score-Then-Adjust_Local-Search, 154.828, 3765.62500
Score-Then-Adjust_Chanas, 154.828, 3765.62500
Score-Then-Adjust-Relaxed, 154.828, 3843.75000
Score-Then-Adjust-Relaxed_Local-Search, 154.828, 3953.12500
Score-Then-Adjust-Relaxed_Chanas, 154.828, 3953.12500
Opt, 154.828, 3484.37500
Score-Then-Adjust, 154.918, 3015.62500
Score-Then-Adjust_Chanas, 154.886, 3140.62500
Score-Then-Adjust_Local-Search, 154.83, 3171.87500
Score-Then-Adjust-Relaxed, 154.918, 3140.62500
Score-Then-Adjust-Relaxed_Chanas, 154.886, 3265.62500
Score-Then-Adjust-Relaxed_Local-Search, 154.83, 3281.25000
