ALGORITHM, DISTANCE, TIME
FootRule+, 14.082489349417145, 125.00000
FootRule+_Chanas, 14.082489349417145, 1171.87500
FootRule+_Local-Search, 14.082489349417145, 1171.87500
RandomSort, 14.773833117460713, 1125.00000
RandomSort_Chanas, 14.293893665829184, 2187.50000
RandomSort_Local-Search, 14.082489349417145, 2187.50000
Borda+, 14.187855994756637, 250.00000
Borda+_Chanas, 14.082489349417145, 1312.50000
Borda+_Local-Search, 14.082489349417145, 1312.50000
Score-Then-Borda+, 14.187855994756637, 375.00000
Score-Then-Borda+_Chanas, 14.082489349417145, 1453.12500
Score-Then-Borda+_Local-Search, 14.082489349417145, 1453.12500
Relaxed-Linear-Program, 14.082489349417145, 1484.37500
Relaxed-Linear-Program_Chanas, 14.082489349417145, 2562.50000
Relaxed-Linear-Program_Local-Search, 14.082489349417145, 2531.25000
Local-Search, 14.082489349417145, 1078.12500
Local-Search_Chanas, 14.082489349417145, 2421.87500
Chanas, 15.66924673460152, 1062.50000
Chanas_Local-Search, 14.082489349417145, 2140.62500
Copeland, 33.76720088637818, 1093.75000
Copeland_Chanas, 14.082489349417145, 2171.87500
Copeland_Local-Search, 14.082489349417145, 2218.75000
QS-Rand, 29.90132800674147, 1078.12500
QS-Rand_Chanas, 16.279599257190117, 2125.00000
QS-Rand_Local-Search, 14.082489349417145, 2140.62500
QS-Det, 25.117554345281754, 1046.87500
QS-Det_Chanas, 18.20300869212403, 2109.37500
QS-Det_Local-Search, 14.082489349417145, 2109.37500
IS, 33.76720088637818, 1046.87500
IS_Chanas, 14.082489349417145, 2093.75000
IS_Local-Search, 14.082489349417145, 2125.00000
Opt, 14.082489349417145, 1843.75000
