ALGORITHM, DISTANCE, TIME
Score-Then-Adjust, 22.73, 103.03964, 0.100
Score-Then-Adjust-Relaxed, 22.73, 120.71764, 0.100
OPTIMAL, 22.73, 89.72223,
Score-Then-Adjust, 22.73, 106.30057, 0.150
Score-Then-Adjust-Relaxed, 22.73, 118.75795, 0.150
OPTIMAL, 22.73, 89.64138,
Score-Then-Adjust, 22.73, 108.64645, 0.200
Score-Then-Adjust-Relaxed, 22.73, 120.89208, 0.200
OPTIMAL, 22.73, 94.95499,
Score-Then-Adjust, 22.73, 113.18880, 0.250
Score-Then-Adjust-Relaxed, 22.73, 118.31009, 0.250
OPTIMAL, 22.73, 94.73203,
Score-Then-Adjust, 22.73, 120.16364, 0.300
Score-Then-Adjust-Relaxed, 22.73, 118.91490, 0.300
OPTIMAL, 22.73, 91.59279,
Score-Then-Adjust, 22.73, 105.77430, 0.350
Score-Then-Adjust-Relaxed, 22.73, 116.85565, 0.350
OPTIMAL, 22.73, 92.13651,
Score-Then-Adjust, 22.73, 87.80649, 0.400
Score-Then-Adjust-Relaxed, 22.73, 91.85442, 0.400
OPTIMAL, 22.73, 103.03987,
Score-Then-Adjust, 22.73, 80.41256, 0.450
Score-Then-Adjust-Relaxed, 22.73, 75.41896, 0.450
OPTIMAL, 22.73, 102.61526,
Score-Then-Adjust, 22.73, 64.34277, 0.500
Score-Then-Adjust-Relaxed, 22.73, 64.48259, 0.500
OPTIMAL, 22.73, 89.47948,
Score-Then-Adjust, 22.73, 71.25410, 0.550
Score-Then-Adjust-Relaxed, 22.73, 67.52191, 0.550
OPTIMAL, 22.73, 88.93425,
Score-Then-Adjust, 22.73, 58.97000, 0.600
Score-Then-Adjust-Relaxed, 22.73, 57.20060, 0.600
OPTIMAL, 22.73, 90.17522,
Score-Then-Adjust, 22.73, 55.53313, 0.650
Score-Then-Adjust-Relaxed, 22.73, 61.39289, 0.650
OPTIMAL, 22.73, 86.88651,
Score-Then-Adjust, 22.75, 51.59105, 0.700
Score-Then-Adjust-Relaxed, 22.75, 49.80014, 0.700
OPTIMAL, 22.73, 91.17790,
Score-Then-Adjust, 22.75, 49.69232, 0.750
Score-Then-Adjust-Relaxed, 22.75, 46.58425, 0.750
OPTIMAL, 22.73, 90.14292,
Score-Then-Adjust, 22.75, 44.71934, 0.800
Score-Then-Adjust-Relaxed, 22.75, 42.81868, 0.800
OPTIMAL, 22.73, 92.33567,
Score-Then-Adjust, 22.75, 46.42594, 0.850
Score-Then-Adjust-Relaxed, 22.75, 42.55540, 0.850
OPTIMAL, 22.73, 89.23323,
Score-Then-Adjust, 22.75, 43.13323, 0.900
Score-Then-Adjust-Relaxed, 22.75, 42.29499, 0.900
OPTIMAL, 22.73, 89.39260,
