ALGORITHM, DISTANCE, TIME
Opt, 154.828, 3421.87500
Score-Then-Adjust, 154.828, 3609.37500
Score-Then-Adjust_Chanas, 154.828, 3734.37500
Score-Then-Adjust_Local-Search, 154.828, 3718.75000
Score-Then-Adjust-Relaxed, 154.828, 3734.37500
Score-Then-Adjust-Relaxed_Chanas, 154.828, 3843.75000
Score-Then-Adjust-Relaxed_Local-Search, 154.828, 3859.37500
Opt, 154.828, 3375.00000
Score-Then-Adjust, 154.828, 3500.00000
Score-Then-Adjust_Chanas, 154.828, 3625.00000
Score-Then-Adjust_Local-Search, 154.828, 3609.37500
Score-Then-Adjust-Relaxed, 154.828, 3671.87500
Score-Then-Adjust-Relaxed_Chanas, 154.828, 3796.87500
Score-Then-Adjust-Relaxed_Local-Search, 154.828, 3781.25000
Opt, 154.828, 3437.50000
Score-Then-Adjust, 154.828, 3609.37500
Score-Then-Adjust_Chanas, 154.828, 3734.37500
Score-Then-Adjust_Local-Search, 154.828, 3718.75000
Score-Then-Adjust-Relaxed, 154.828, 3750.00000
Score-Then-Adjust-Relaxed_Chanas, 154.828, 3875.00000
Score-Then-Adjust-Relaxed_Local-Search, 154.828, 3859.37500
Opt, 154.828, 3343.75000
Score-Then-Adjust, 154.918, 2890.62500
Score-Then-Adjust_Chanas, 154.886, 3015.62500
Score-Then-Adjust_Local-Search, 154.83, 3031.25000
Score-Then-Adjust-Relaxed, 154.918, 3015.62500
Score-Then-Adjust-Relaxed_Chanas, 154.886, 3125.00000
Score-Then-Adjust-Relaxed_Local-Search, 154.83, 3140.62500
